bucket_id,county_count
0_0_0_1,694
0_0_0_0,578
3_0_0_0,395
1_0_0_0,287
3_0_0_1,198
0_1_0_0,129
5_0_0_0,109
5_0_1_0,85
3_1_0_0,80
0_0_1_1,71
4_0_0_1,58
4_0_0_0,58
0_0_1_0,58
2_0_0_0,51
5_0_0_1,33
5_0_1_1,33
1_1_0_0,33
0_1_0_1,30
2_1_0_0,26
1_0_0_1,22
4_1_0_0,17
3_0_1_0,16
2_0_0_1,10
0_1_1_0,10
1_0_1_0,9
3_1_0_1,8
99_0_99_1,7
4_1_0_1,6
0_99_0_1,5
4_0_1_0,4
3_1_1_0,4
3_0_1_1,4
5_1_1_0,4
1_1_0_1,3
4_0_1_1,3
0_99_0_0,2
0_1_1_1,2
5_1_0_0,2
99_0_99_0,2
2_1_0_1,2
3_1_1_1,1
4_99_0_1,1
2_0_1_0,1
5_1_0_1,1
