countyid,emp
1001,358
1003,4091
1005,175
1007,120
1009,244
1011,53
1013,193
1015,1900
1017,269
1019,102
1021,265
1023,49
1025,242
1027,23
1029,15
1031,481
1033,712
1035,305
1037,15
1039,583
1041,140
1043,835
1045,4350
1047,473
1049,674
1051,1466
1053,1478
1055,1041
1057,51
1059,184
1061,157
1063,125
1065,38
1067,161
1069,3631
1071,500
1073,34494
1075,45
1077,1672
1079,102
1081,2717
1083,848
1085,96
1087,1679
1089,28438
1091,203
1093,106
1095,1537
1097,16896
1099,223
1101,12069
1103,2577
1105,318
1107,104
1109,926
1111,89
1113,280
1115,978
1117,13032
1119,240
1121,2037
1123,346
1125,5147
1127,649
1129,105
1131,313
1133,322
2013,28
2016,462
2020,28704
2050,728
2060,131
2068,93
2070,85
2090,2763
2100,37
2105,72
2110,1507
2122,1446
2130,1245
2150,456
2164,82
2170,1249
2180,284
2185,1140
2188,185
2195,106
2198,92
2220,321
2230,64
2240,99
2261,737
2270,76
2275,36
2282,54
2290,85
4001,305
4003,3582
4005,5502
4007,1018
4009,604
4011,74
4012,749
4013,285694
4015,2259
4017,1562
4019,34818
4021,7012
4023,1638
4025,5901
4027,4584
5001,595
5003,233
5005,762
5007,32695
5009,1495
5011,148
5013,10
5015,954
5017,381
5019,901
5021,271
5023,250
5025,16
5027,185
5029,224
5031,2603
5033,711
5035,1725
5037,426
5039,32
5041,314
5043,189
5045,4739
5047,194
5049,34
5051,3160
5053,89
5055,1981
5057,210
5059,219
5061,85
5063,996
5065,140
5067,171
5069,690
5071,676
5073,30
5075,490
5077,173
5079,49
5081,59
5083,129
5085,1022
5087,42
5089,75
5091,782
5093,1181
5095,343
5097,109
5099,36
5101,87
5103,261
5105,17
5107,630
5109,180
5111,445
5113,344
5115,1947
5117,137
5119,23632
5121,137
5123,757
5125,1549
5127,18
5129,38
5131,7499
5133,101
5135,86
5137,126
5139,1552
5141,364
5143,8196
5145,2651
5147,329
5149,133
6001,148290
6003,397
6005,1478
6007,5567
6009,438
6011,809
6013,47512
6015,414
6017,7648
6019,24750
6021,239
6023,3202
6025,2373
6027,358
6029,17612
6031,2708
6033,993
6035,282
6037,925398
6039,1574
6041,18531
6043,960
6045,2042
6047,2349
6049,114
6051,324
6053,13189
6055,6164
6057,2366
6059,302573
6061,20568
6063,274
6065,57159
6067,61186
6069,898
6071,70122
6073,244065
6075,211695
6077,17219
6079,10364
6081,138045
6083,25655
6085,416529
6087,11899
6089,4273
6091,8
6093,893
6095,9801
6097,20394
6099,10772
6101,1379
6103,948
6105,98
6107,9199
6109,1930
6111,40973
6113,10730
6115,1292
8001,17621
8003,465
8005,59963
8007,614
8009,58
8011,226
8013,38108
8014,16125
8015,795
8017,78
8019,807
8021,59
8023,2
8025,281
8027,50
8029,357
8031,106257
8033,63
8035,13182
8037,7885
8039,134
8041,40878
8043,567
8045,1187
8047,4343
8049,2379
8051,453
8053,21
8055,52
8057,17
8059,30161
8061,30
8063,444
8065,231
8067,2251
8069,16623
8071,70
8073,20
8075,339
8077,4746
8079,60
8081,132
8083,904
8085,693
8087,367
8089,188
8091,112
8093,138
8095,140
8097,4704
8099,196
8101,3012
8103,105
8105,420
8107,1566
8109,316
8111,55
8113,1243
8115,41
8117,5071
8119,1804
8121,81
8123,8531
8125,296
9001,110436
9003,86656
9005,5359
9007,9324
9009,67058
9011,27502
9013,2206
9015,1743
10001,6659
10003,60395
10005,3527
11001,198165
12001,8584
12003,92
12005,8691
12007,256
12009,24163
12011,137225
12013,43
12015,1767
12017,1976
12019,2283
12021,11675
12023,2065
12025,181047
12027,184
12029,25
12031,70331
12033,8556
12035,1472
12037,240
12039,660
12041,145
12043,207
12045,97
12047,95
12049,281
12051,804
12053,1347
12055,786
