county_fips,czone,CountyName,NameoflargestplaceinCommuti,state
51173,100,Smyth County,"Johnson City city, TN",TN
47179,100,Washington County,"Johnson City city, TN",TN
51520,100,Bristol city,"Johnson City city, TN",TN
47059,100,Greene County,"Johnson City city, TN",TN
51169,100,Scott County,"Johnson City city, TN",TN
47171,100,Unicoi County,"Johnson City city, TN",TN
47019,100,Carter County,"Johnson City city, TN",TN
47073,100,Hawkins County,"Johnson City city, TN",TN
51191,100,Washington County,"Johnson City city, TN",TN
47163,100,Sullivan County,"Johnson City city, TN",TN
47029,200,Cocke County,"Morristown city, TN",TN
47155,200,Sevier County,"Morristown city, TN",TN
47057,200,Grainger County,"Morristown city, TN",TN
47089,200,Jefferson County,"Morristown city, TN",TN
47063,200,Hamblen County,"Morristown city, TN",TN
47025,301,Claiborne County,"Middlesborough city, KY",KY
21013,301,Bell County,"Middlesborough city, KY",KY
47067,301,Hancock County,"Middlesborough city, KY",KY
47013,302,Campbell County,"Knoxville city, TN",TN
47129,302,Morgan County,"Knoxville city, TN",TN
47009,302,Blount County,"Knoxville city, TN",TN
47173,302,Union County,"Knoxville city, TN",TN
47105,302,Loudon County,"Knoxville city, TN",TN
47001,302,Anderson County,"Knoxville city, TN",TN
47145,302,Roane County,"Knoxville city, TN",TN
47093,302,Knox County,"Knoxville city, TN",TN
37171,401,Surry County,"Winston-Salem city, NC",NC
37197,401,Yadkin County,"Winston-Salem city, NC",NC
37169,401,Stokes County,"Winston-Salem city, NC",NC
37059,401,Davie County,"Winston-Salem city, NC",NC
37067,401,Forsyth County,"Winston-Salem city, NC",NC
51141,402,Patrick County,"Martinsville city, VA",VA
51690,402,Martinsville city,"Martinsville city, VA",VA
51089,402,Henry County,"Martinsville city, VA",VA
37157,500,Rockingham County,"Greensboro city, NC",NC
37081,500,Guilford County,"Greensboro city, NC",NC
37033,500,Caswell County,"Greensboro city, NC",NC
37001,500,Alamance County,"Greensboro city, NC",NC
51590,500,Danville city,"Greensboro city, NC",NC
37057,500,Davidson County,"Greensboro city, NC",NC
37151,500,Randolph County,"Greensboro city, NC",NC
51143,500,Pittsylvania County,"Greensboro city, NC",NC
37193,601,Wilkes County,"North Wilkesboro town, NC",NC
37009,601,Ashe County,"North Wilkesboro town, NC",NC
51077,602,Grayson County,"Galax city, VA",VA
37005,602,Alleghany County,"Galax city, VA",VA
51640,602,Galax city,"Galax city, VA",VA
51035,602,Carroll County,"Galax city, VA",VA
45087,700,Union County,"Spartanburg city, SC",SC
